id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids/0,backdrop_path,adult,overview,poster_path,popularity,id_imdb,genre_ids/1,genre_ids/2,genre_ids/3,genre_ids/4,genre_ids/5,genre_ids/6
634233,false,0,0,Class Action Park,,en,Class Action Park,99,,false,"Discover the legacy of Action Park, a very real amusement park that used to exist that has something of a legendary story. Not only because the park was wild and far less structured than something like Disneyland, but because many people were seriously injured, and some even died. While it sounds made up, this place was very real.",/h21s0GnRiI9aL4hIFQWJGPZSwGg.jpg,0.6,tt11015214,,,,,,
436786,false,0,0,Clapboard Jungle: Surviving the Independent Film Business,2020-03-26,en,Clapboard Jungle: Surviving the Independent Film Business,99,,false,A survival guide for the modern independent filmmaker.,/3ZslUuPHnv5EngMHbWyQzb9PX0L.jpg,0.926,tt4284084,,,,,,
688335,false,2,7.5,Close Encounters of the Fifth Kind,2020-04-07,en,Close Encounters of the Fifth Kind,99,/efiDNmExd9GweIqmQKcwIt09hi7.jpg,false,"Dr. Steven Greer’s previous works, SIRIUS and UNACKNOWLEDGED, broke crowdfunding records and ignited a grassroots movement. CLOSE ENCOUNTERS OF THE FIFTH KIND features groundbreaking video and photographic evidence and supporting interviews from prominent figures such as Adam Curry of Princeton’s PEAR Lab; legendary civil rights attorney Daniel Sheehan, and Dr. Russell Targ, who headed the CIA’s top secret remote viewing program. Their message: For thousands of people, contact has begun. This is their story.",/R0rmE1wDbxMb2W0MyDE3HKPhOR.jpg,5.217,tt12108272,,,,,,
639103,false,1,4,Clover,2020-04-03,en,Clover,35,/hgvNpunbkYhPLKj46GotQqlTXng.jpg,false,Brothers Jackie and Mickey along with a teen witness Clover find themselves on the run from the city’s most notorious crime boss.,/wTp5SYAuTuHDGQGWePkF2z5sHTD.jpg,5.588,tt7801350,53,,,,,
674334,false,0,0,Climbing Blind,2020-03-20,en,Climbing Blind,99,/rjtXLRO0ixmbjoQM27Rj7rFRWe9.jpg,false,Blind climber Jesse Dufton's ascent of the Old Man of Hoy.,/rODi66xlhEIaHs2krHlj4A8da5f.jpg,2.586,tt11801494,,,,,,
630566,false,0,0,Clouds,,en,Clouds,10749,,false,"A teenager is diagnosed with a rare form of bone cancer and finds a way to inspire others with the little time he has left. Based on Laura Sobiech's book ""Fly a Little Higher.""",,0.664,tt6473066,18,,,,,
664511,false,1,10,Classic Again,2020-02-06,th,จดหมาย สายฝน ร่มวิเศษ,18,,false,,/nhu3b6iXHJyrTdkosMbKaQEGgSn.jpg,0.6,tt10075442,10749,,,,,
585245,false,0,0,Clifford the Big Red Dog,2020-11-13,en,Clifford the Big Red Dog,10751,,false,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",/ug95MZrrriMyhPXXVhWb4NH9D67.jpg,2.831,tt2397461,16,35,,,,
689700,false,0,0,Clean,,en,Clean,80,,false,"Tormented by his past, a garbage man named Clean attempts a quiet life of redemption. But, soon finds himself forced to reconcile with the violence of his past.",,0.6,tt10023022,18,,,,,
674464,false,0,0,Clown Fear,2020-02-18,en,Clown Fear,27,/u5jWXkmNA4YqucjhEIZXXkn87Zr.jpg,false,A runaway bride and her bridesmaids are stranded in a city run by clowns. Everything seemed normal at first but this clown cult has their own set of rules. It's a carnival ride as our girls tries to stay alive to escape Clown City.,/s3Kk8t61o8DaGRhOFfsKMXGvHwm.jpg,3.652,tt8516596,,,,,,
