film,winner
The Noose,False
The Last Command,True
A Ship Comes In,False
7th Heaven,True
Sadie Thompson,False
Sunrise,False
The Dove;,True
7th Heaven,False
The Devil Dancer;,False
Sunrise,True
Sunrise,True
Two Arabian Knights,True
Speedy,False
7th Heaven,True
Sorrell and Son,False
The Crowd,False
,False
Wings,True
,False
The Racket,False
7th Heaven,False
Wings,True
Sunrise,True
The Crowd,False
Chang,False
The Jazz Singer,False
Glorious Betsy,False
7th Heaven,True
The Last Command,False
Underworld,True
The Private Life of Helen of Troy,False
,True
,False
,True
,True
Thunderbolt,False
In Old Arizona,True
Alibi,False
The Valiant,False
The Patriot,False
Madame X,False
The Barker,False
The Letter,False
The Divine Lady,False
The Broadway Melody,False
Coquette,True
The Patriot,False
The Bridge of San Luis Rey,True
Dynamite,False
Alibi;,False
Street Angel,False
Our Dancing Daughters,False
White Shadows in the South Seas,True
In Old Arizona,False
Four Devils;,False
The Divine Lady,False
Madame X,False
The Broadway Melody,False
In Old Arizona,False
The Divine Lady,True
Drag;,False
The Patriot,False
Alibi,False
In Old Arizona,False
The Broadway Melody,True
Hollywood Revue,False
The Patriot,False
In Old Arizona;,False
The Cop;,False
The Last of Mrs. Cheyney,False
The Patriot,True
Our Dancing Daughters,False
A Woman of Affairs;,False
Disraeli,True
The Green Goddess,False
The Big House,False
The Big Pond,False
Bulldog Drummond,False
The Rogue Song,False
The Devil's Holiday,False
Sarah and Son,False
Anna Christie,False
The Divorcee,True
Their Own Desire,False
The Trespasser,False
Bulldog Drummond,False
King of Jazz,True
The Love Parade,False
Sally,False
The Vagabond King,False
All Quiet on the Western Front,False
Anna Christie,False
Hell's Angels,False
The Love Parade,False
With Byrd at the South Pole,True
Anna Christie;,False
The Divorcee,False
The Love Parade,False
All Quiet on the Western Front,True
Hallelujah,False
All Quiet on the Western Front,True
The Big House,False
Disraeli,False
The Divorcee,False
The Love Parade,False
The Big House,True
The Case of Sergeant Grischa,False
The Love Parade,False
Raffles,False
Song of the Flame,False
All Quiet on the Western Front,False
The Big House,True
Disraeli,False
The Divorcee,False
Street of Chance,False
A Free Soul,True
Skippy,False
Cimarron,False
The Royal Family of Broadway,False
The Front Page,False
Morocco,False
Min and Bill,True
Cimarron,False
Holiday,False
A Free Soul,False
Cimarron,True
Just Imagine,False
Morocco,False
Svengali,False
Whoopee!,False
Cimarron,False
Morocco,False
The Right to Love,False
Svengali,False
Tabu,True
Cimarron,False
A Free Soul,False
The Front Page,False
Morocco,False
Skippy,True
Cimarron,True
East Lynne,False
The Front Page,False
Skippy,False
Trader Horn,False
,False
,False
,True
,False
Cimarron,True
The Criminal Code,False
Holiday,False
Little Caesar,False
Skippy,False
The Dawn Patrol,True
The Doorway to Hell,False
Laughter,False
The Public Enemy,False
Smart Money,False
The Champ,True
The Guardsman,False
Dr. Jekyll and Mr. Hyde,True
Emma,False
The Guardsman,False
The Sin of Madelon Claudet,True
À Nous la Liberté,False
Arrowsmith,False
Transatlantic,True
Arrowsmith,False
Dr. Jekyll and Mr. Hyde,False
Shanghai Express,True
Bad Girl,True
The Champ,False
Shanghai Express,False
Arrowsmith,False
Bad Girl,False
The Champ,False
Five Star Final,False
Grand Hotel,True
One Hour with You,False
Shanghai Express,False
The Smiling Lieutenant,False
Flowers and Trees,True
It's Got Me Again,False
Mickey's Orphans,False
The Loud Mouth,False
The Music Box,True
Scratch-As-Catch-Can,False
Stout Hearts and Willing Hands,False
Screen Souvenirs,False
Swing High,False
Wrestling Swordfish,True
,False
,True
,False
,False
Arrowsmith,False
Bad Girl,True
Dr. Jekyll and Mr. Hyde,False
The Champ,True
Lady and Gent,False
The Star Witness,False
What Price Hollywood?,False
,True
Berkeley Square,False
The Private Life of Henry VIII,True
I Am a Fugitive from a Chain Gang,False
Morning Glory,True
Lady for a Day,False
Cavalcade,False
Cavalcade,True
A Farewell to Arms,False
When Ladies Meet,False
,False
,True
,True
,False
,False
,True
,False
,False
,False
,True
,True
,False
,True
,False
,False
,False
,True
,False
A Farewell to Arms,True
Reunion in Vienna,False
The Sign of the Cross,False
Cavalcade,True
Lady for a Day,False
Little Women,False
Cavalcade,True
A Farewell to Arms,False
42nd Street,False
I Am a Fugitive from a Chain Gang,False
Lady for a Day,False
Little Women,False
The Private Life of Henry VIII,False
She Done Him Wrong,False
Smilin' Through,False
State Fair,False
Building a Building,False
The Merry Old Soul,False
The Three Little Pigs,True
Mister Mugg,False
A Preferred List,False
So This Is Harris,True
Krakatoa,True
Menu,False
The Sea,False
A Farewell to Arms,True
42nd Street,False
Gold Diggers of 1933,False
I Am a Fugitive from a Chain Gang,False
Lady for a Day,False
Little Women,True
State Fair,False
One Way Passage,True
The Prizefighter and the Lady,False
Rasputin and the Empress,False
It Happened One Night,True
The Affairs of Cellini,False
The Thin Man,False
It Happened One Night,True
Of Human Bondage,False
One Night of Love,False
The Barretts of Wimpole Street,False
The Affairs of Cellini,False
The Gay Divorcee,False
The Merry Widow,True
Cleopatra,False
Imitation of Life,False
Viva Villa!,True
The Affairs of Cellini,False
Cleopatra,True
Operator 13,False
It Happened One Night,True
One Night of Love,False
The Thin Man,False
Cleopatra,False
Eskimo,True
One Night of Love,False
The Gay Divorcee,False
The Lost Patrol,False
One Night of Love,True
Flying Down to Rio,False
The Gay Divorcee,True
She Loves Me Not,False
The Barretts of Wimpole Street,False
